Entity,Code,Year,waste,capital,lat,long
Albania,ALB,2010,0.069,Tirana,41.327953,19.819025
Algeria,DZA,2010,0.144,Algier,36.737232,3.086472
Angola,AGO,2010,0.062,Luanda,-8.838333,13.234444
Anguilla,AIA,2010,0.252,The Valley (Anguilla),18.21704,-63.05783
Antigua and Barbuda,ATG,2010,0.66,Saint John's,17.220227,-61.83069
Argentina,ARG,2010,0.183,Buenos Aires,-34.33391,-58.364636
Aruba,ABW,2010,0.252,Oranjestad�,12.598601,-69.999507
Australia,AUS,2010,0.112,Canberra ,-34.232185,149.257881
Bahamas,BHS,2010,0.39,Nassau,25.207243,-77.328131
Bahrain,BHR,2010,0.132,Manama,26.302674,50.591073
Bangladesh,BGD,2010,0.034,Dhaka,24.09388,90.409536
Barbados,BRB,2010,0.57,Bridgetown,13.163336,-59.610243
Belgium,BEL,2010,0.08,Br�ssel,50.929908,4.361337
Belize,BLZ,2010,0.172,Belmopan�,17.294629,-88.760906
Benin,BEN,2010,0.043,Porto-Novo,6.576957,2.617407
Bermuda,BMU,2010,0.252,Hamilton�,32.299713,-64.785402
Bosnia and Herzegovina,BIH,2010,0.144,Sarajevo,43.95161,18.419832
Brazil,BRA,2010,0.165,Bras�lia,-14.788127,-47.854944
British Virgin Islands,VGB,2010,0.252,Road Town,18.45204,-64.616509
Brunei,BRN,2010,0.026,Bandar Seri Begawan,4.974983,114.943945
Bulgaria,BGR,2010,0.154,Sofia,42.688056,23.317675
Cambodia,KHM,2010,0.066,Phnom Penh,11.617234,104.910465
Cameroon,CMR,2010,0.046,Jaunde,3.842402,11.50139
Canada,CAN,2010,0.093,Ottawa,45.432157,-75.718249
Cape Verde,CPV,2010,0.065,Praia,14.927906,-23.502362
Cayman Islands,CYM,2010,0.252,George Town,19.293962,-81.3735
Channel Islands,OWID_CIS,2010,0.252,Saint Helier,49.182687,-2.101688
Chile,CHL,2010,0.119,Santiago de Chile,-33.427368,-70.683303
China,CHN,2010,0.121,Peking,39.888395,116.414762
Christmas Island,CXR,2010,0.252,Flying Fish Cove,-10.433981,105.672999
Cocos Islands,CCK,2010,0.252,Keeling,-12.176762,96.84703
Colombia,COL,2010,0.144,Bogot�,4.719692,-74.05707
Comoros,COM,2010,0.201,Moroni�,-11.698535,43.243437
Congo,COG,2010,0.069,Brazzaville,-4.265338,15.248849
Cook Islands,COK,2010,0.144,Avarua,-21.223261,-159.777136
Costa Rica,CRI,2010,0.258,San Jos�,9.929418,-84.088127
Cote d'Ivoire,CIV,2010,0.103,Yamoussoukro,6.815457,-5.285881
Croatia,HRV,2010,0.252,Zagreb,45.812837,15.985611
Cuba,CUB,2010,0.089,Havanna,23.115687,-82.35979
Curacao,CUW,2010,0.252,Willemstad,12.122906,-68.883066
Cyprus,CYP,2010,0.248,Nikosia,35.185529,33.384073
Democratic Republic of Congo,COD,2010,0.045,Kinshasa,-4.449738,15.267003
Denmark,DNK,2010,0.047,Kopenhagen,55.676281,12.58112
Djibouti,DJI,2010,0.103,Dschibuti,11.575127,43.144158
Dominica,DMA,2010,0.149,Roseau�,15.307975,-61.378947
Dominican Republic,DOM,2010,0.144,Santo Domingo,18.486053,-69.940021
Ecuador,ECU,2010,0.147,Quito,-0.232005,-78.505849
Egypt,EGY,2010,0.178,Kairo,30.044774,31.236491
El Salvador,SLV,2010,0.147,San Salvador,13.692476,-89.218299
Equatorial Guinea,GNQ,2010,0.144,Bata,1.852337,9.776265
Eritrea,ERI,2010,0.045,Asmara�,15.325483,38.929088
Estonia,EST,2010,0.176,Tallinn,59.437768,24.754029
Faeroe Islands,FRO,2010,0.252,T�rshavn,62.010926,-6.774477
Falkland Islands,FLK,2010,0.252,Stanley�,-51.697583,-57.852495
Fiji,FJI,2010,0.189,Suva,-18.126226,178.448225
Finland,FIN,2010,0.234,Helsinki,60.172085,24.956864
France,FRA,2010,0.192,Paris,48.857031,2.351521
French Guiana,GUF,2010,0.144,Cayenne,4.923796,-52.314486
French Polynesia,PYF,2010,0.252,Papeete,-17.552056,-149.547873
Gabon,GAB,2010,0.054,Libreville,0.430515,9.454856
Gambia,GMB,2010,0.048,Banjul�,13.450349,-16.566464
Georgia,GEO,2010,0.068,Atlanta,33.738706,-84.391083
Germany,DEU,2010,0.485,Berlin,52.53385,13.410439
Ghana,GHA,2010,0.04,Accra,5.597147,-0.183049
Gibraltar,GIB,2010,0.252,Gibraltar�,36.138231,-5.328031
Greece,GRC,2010,0.2,Athen,37.982308,23.728382
Greenland,GRL,2010,0.252,Nuuk,64.184304,-51.703868
Grenada,GRD,2010,0.325,St. George's,12.054662,-61.75312
Guadeloupe,GLP,2010,0.144,Basse-Terre,16.008073,-61.72365
Guam,GUM,2010,0.252,Tamuning,13.504914,144.809968
Guatemala,GTM,2010,0.28,Guatemala-Stadt,14.630887,-90.502933
Guernsey,GGY,2010,0.252,Icart,49.422321,-2.560947
Guinea,GIN,2010,0.03,Conakry,9.638514,-13.580836
Guinea-Bissau,GNB,2010,0.054,Bissau,11.860891,-15.578733
Guyana,GUY,2010,0.586,Georgetown,6.792828,-58.157114
Haiti,HTI,2010,0.09,Port-au-Prince,18.593638,-72.282041
Honduras,HND,2010,0.189,Tegucigalpa,14.056158,-87.178213
Hong Kong,HKG,2010,0.398,Hongkong,22.321552,114.172323
Iceland,ISL,2010,0.281,Reykjav�k,64.160423,-21.909612
India,IND,2010,0.01,Neu-Delhi,28.603204,77.219963
Indonesia,IDN,2010,0.057,Jakarta,-6.156269,106.857028
Iran,IRN,2010,0.144,Teheran,35.685579,51.392885
Iraq,IRQ,2010,0.103,Bagdad,33.311595,44.367969
Ireland,IRL,2010,0.43,Dublin,53.343557,-6.251167
Israel,ISR,2010,0.297,Jerusalem,31.767191,35.205407
Italy,ITA,2010,0.134,Rom,41.894012,12.514315
Jamaica,JAM,2010,0.034,Kingston,18.021263,-76.804391
Japan,JPN,2010,0.171,Tokio,35.751677,139.730414
Jordan,JOR,2010,0.144,Amman,31.973902,35.889172
Kenya,KEN,2010,0.027,Nairobi,-1.295725,36.818922
Kiribati,KIR,2010,0.103,London,1.998197,-157.479674
Kuwait,KWT,2010,0.686,Kuwait-Stadt,29.384336,47.976278
Latvia,LVA,2010,0.124,Riga,56.94781,24.104438
Lebanon,LBN,2010,0.094,Beirut,33.908885,35.504264
Liberia,LBR,2010,0.084,Monrovia,6.311839,-10.806833
Libya,LBY,2010,0.144,Tripolis,32.887658,13.193182
Lithuania,LTU,2010,0.132,Vilnius,54.696377,25.28641
Macao,MAC,2010,0.368,Macao,22.201809,113.541758
Madagascar,MDG,2010,0.016,Antananarivo,-18.85018,47.504264
Malaysia,MYS,2010,0.198,Kuala Lumpur,3.143415,101.674399
Maldives,MDV,2010,0.322,Mal�,4.175707,73.508925
Malta,MLT,2010,0.214,Valletta,35.898586,14.515414
Marshall Islands,MHL,2010,0.192,Majuro,7.092524,171.382384
Martinique,MTQ,2010,0.252,Fort-de-France,14.615363,-61.060812
Mauritania,MRT,2010,0.045,Nuakschott,18.05432,-15.965013
Mauritius,MUS,2010,0.23,Port Louis,-20.165131,57.500105
Mexico,MEX,2010,0.087,Mexiko-Stadt,19.407633,-99.132885
Micronesia (country),FSM,2010,0.103,Kolonia,6.957852,158.213099
Monaco,MCO,2010,0.252,Monaco,43.737039,7.427853
Montenegro,MNE,2010,0.144,Podgorica,42.425298,19.260588
Montserrat,MSR,2010,0.144,Plymouth ,16.706877,-62.216111
Morocco,MAR,2010,0.073,Rabat,33.99094,-6.847942
Mozambique,MOZ,2010,0.015,Maputo,-25.976206,32.588365
Myanmar,MMR,2010,0.075,Naypyidaw,19.779859,96.085346
Namibia,NAM,2010,0.144,Windhuk,-22.569832,17.070791
Nauru,NRU,2010,0.144,Yaren,-0.547054,166.920616
Netherlands,NLD,2010,0.424,Amsterdam,52.3652,4.900618
Netherlands Antilles,ANT,2010,0.252,,,
New Caledonia,NCL,2010,0.252,Noum�a,-22.272006,166.432608
New Zealand,NZL,2010,0.331,Wellington,-41.272998,174.775209
Nicaragua,NIC,2010,0.143,Managua,12.114259,-86.220191
Nigeria,NGA,2010,0.103,Abuja,9.067113,7.395786
Niue,NIU,2010,0.252,Alofi,-19.054926,-169.918263
Norfolk Island,NFK,2010,0.103,Kingston,-29.056151,167.960787
North Korea,PRK,2010,0.054,Pj�ngjang,39.029305,125.752244
Northern Mariana Islands,MNP,2010,0.252,Capitol Hill,15.217562,145.756503
Norway,NOR,2010,0.28,Oslo,59.91616,10.737733
Oman,OMN,2010,0.084,Maskat,23.58941,58.383489
Pakistan,PAK,2010,0.103,Islamabad,33.685433,73.044162
Palau,PLW,2010,0.144,Ngerulmud,7.500004,134.625779
Palestine,PSE,2010,0.063,Ramallah,31.904144,35.203479
Panama,PAN,2010,0.145,Panama City,8.998689,-79.524211
Papua New Guinea,PNG,2010,0.103,Port Moresby,-9.444926,147.194315
Peru,PER,2010,0.144,Lima District,-12.052863,-77.036523
Philippines,PHL,2010,0.075,Manila,14.604359,120.991529
Poland,POL,2010,0.097,Warschau,52.224751,21.007984
Portugal,PRT,2010,0.265,Lissabon,38.73751,-9.137993
Puerto Rico,PRI,2010,0.252,San Juan,18.465695,-66.078986
Qatar,QAT,2010,0.16,Doha,25.310797,51.526532
